upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
328;406528;43;Kalia;??????;463841;537524;0;93;0;1;,
329;406552;43;Lohagara;????????;461851;556907;0;94;0;1;,
330;406576;43;Narail Sadar;????? ???;448747;551500;0;93;94;0;1,
331;408704;44;Assasuni;???????;418034;483348;0;107;0;1;,
332;408725;44;Debhata;??????;399276;490162;0;107;0;1;,
333;408743;44;Kalaroa;???????;401200;521525;0;105;0;1;,
334;408747;44;Kaliganj;????????;406380;475615;0;108;0;1;,
335;408782;44;Satkhira Sadar;????????? ???;401304;504687;0;106;0;1;,
336;408786;44;Shyamnagar;????????;416042;425938;0;108;0;1;,
337;408790;44;Tala;????;419479;505917;0;105;0;1;,
338;501006;45;Adamdighi;???????;405614;733683;0;38;0;1;,
339;501020;45;Bogura Sadar;????? ???;435560;742840;0;41;0;1;,
340;501027;45;Dhunat;????;454932;719903;0;;0;1;,
341;501033;45;Dhupchanchia;?????????;413797;742319;0;38;0;1;,
342;501040;45;Gabtali;??????;446417;742560;0;42;0;1;,
343;501054;45;Kahaloo;??????;424748;736487;0;39;0;1;,
344;501067;45;Nandigram;??????????;422235;719869;0;39;0;1;,
345;501081;45;Sariakandi;????????????;460868;742943;0;36;0;1;,
346;501085;45;Shahjahanpur;???????????;437321;728195;0;42;0;1;,
347;501088;45;Sherpur;??????;441988;714402;0;40;0;1;,
348;501094;45;Shibganj;???????;430673;756887;0;37;0;1;,
349;501095;45;Sonatala;???????;450099;755290;0;36;0;1;,
350;503813;46;Akkelpur;?????????;403965;747960;0;35;0;1;,
351;503847;46;Joypurhat Sadar;???????? ???;402023;767117;0;34;0;1;,
352;503858;46;Kalai;?????;419828;763550;0;35;0;1;,
353;503861;46;Khetlal;????????;411687;757640;0;35;0;1;,
354;503874;46;Panchbibi;????????;407127;777850;0;34;0;1;,
355;506403;47;Atrai;??????;398228;714258;0;51;0;1;,
356;506406;47;Badalgachhi;???????;393908;751977;0;48;0;1;,
357;506428;47;Dhamoirhat;???????? ;382120;770080;0;47;0;1;,
358;506447;47;Manda;??????;370397;727852;0;49;0;1;,
359;506450;47;Mahadebpur;?????????;375754;747128;0;48;0;1;,
360;506460;47;Naogaon Sadar;????? ???;389295;735023;0;50;0;1;,
361;506469;47;Niamatpur;?????????;354080;737369;0;46;0;1;,
362;506475;47;Patnitala;????????;371047;764380;0;47;0;1;,
363;506479;47;Porsha;?????;351140;755570;0;46;0;1;,
364;506485;47;Raninagar;???????;401699;723946;0;51;0;1;,
365;506486;47;Sapahar;???????;352603;769252;0;46;0;1;,
366;506909;48;Bagatipara;??????????;393897;679542;0;58;0;1;,
367;506915;48;Baraigram;?????????;412258;673865;0;61;0;1;,
368;506941;48;Gurudaspur;??????????;420028;686090;0;61;0;1;,
369;506944;48;Lalpur;??????;394336;666140;0;58;0;1;,
370;506955;48;Naldanga;????????;396949;700892;0;59;0;1;,
